25 20
#############
#...........#    ########
#...s...s...######......#
#.......................#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#...........#    #..w...#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #...k..#
  #.......#      #......#
  #..c....#      #...p..#
  #.......#      #......#
  #.......#      #...c..#
  #.......#      #......#
  #########       ######
